iter	Logloss
0	0.6757406107
1	0.6577136573
2	0.63902251
3	0.6273474779
4	0.612971814
5	0.5973275658
6	0.5836753925
7	0.56948395
8	0.5515611927
9	0.5416025813
10	0.5257675098
11	0.5117637164
12	0.4987811299
13	0.4923644517
14	0.4819377415
15	0.4713077182
16	0.4607055176
17	0.4526541247
18	0.4456356036
19	0.4353025064
20	0.4237835692
21	0.4142230268
22	0.4051735432
23	0.3965235638
24	0.3938641761
25	0.3858487967
26	0.3783185351
27	0.372208499
28	0.3604736149
29	0.3521126093
30	0.3472414596
31	0.3393175095
32	0.3346857617
33	0.327665099
34	0.3212886134
35	0.3165536281
36	0.3090172008
37	0.3030341448
38	0.2998689144
39	0.2953993254
40	0.2930194678
41	0.2858908694
42	0.2812869694
43	0.2764584459
44	0.2709355763
45	0.2641582581
46	0.2604815171
47	0.2550425566
48	0.2514221613
49	0.2456512215
50	0.2419299389
51	0.2387597754
52	0.2346699887
53	0.2320374086
54	0.2298008073
55	0.2268021857
56	0.2233278514
57	0.2168603568
58	0.2124477731
59	0.2099125718
60	0.2045483426
61	0.201681434
62	0.1986289519
63	0.1956946428
64	0.1914525806
65	0.1888535471
66	0.1856442067
67	0.1837496271
68	0.1797354234
69	0.1748551838
70	0.1736220474
71	0.1709824853
72	0.1669247182
73	0.1633540816
74	0.1600864089
75	0.1569398164
76	0.1541920364
77	0.1506660622
78	0.1468746619
79	0.1453711005
80	0.1431199318
81	0.1400462892
82	0.1382795023
83	0.1343907943
84	0.1327741578
85	0.1307445991
86	0.1286088524
87	0.1267391186
88	0.1249608251
89	0.1235336869
90	0.1207738187
91	0.118445231
92	0.1157292675
93	0.1144938572
94	0.1128109797
95	0.1112872894
96	0.1092738012
97	0.1070749197
98	0.1053787163
99	0.1036808226
100	0.1010017754
101	0.09986530698
102	0.09815960198
103	0.09692665494
104	0.09419904699
105	0.09311578984
106	0.09199545678
107	0.09082946371
108	0.08979046242
109	0.08791756163
110	0.08648231769
111	0.08584615085
112	0.084458612
113	0.08322640118
114	0.08195449615
115	0.08003703072
116	0.07848537345
117	0.07752655825
118	0.07678701138
119	0.07609368224
120	0.07474434269
121	0.07357457244
122	0.07270056926
123	0.07227133577
124	0.0708462307
125	0.06984981164
126	0.06908387572
127	0.06833326662
128	0.06770803182
129	0.06649912617
130	0.06525235912
131	0.06417623597
132	0.06305299338
133	0.06237198024
134	0.06159847565
135	0.06072439303
136	0.0602542148
137	0.05932639336
138	0.05869701366
139	0.05768568548
140	0.05707203057
141	0.056718321
142	0.05629695661
143	0.05545347593
144	0.05460698275
145	0.05398642341
146	0.05321995277
147	0.05254442546
148	0.05215736486
149	0.05163118721
150	0.05095741172
151	0.05012131997
152	0.0497535935
153	0.04919602708
154	0.04891975579
155	0.04810483753
156	0.04740433237
157	0.04671717847
158	0.04608194105
159	0.04539481514
160	0.04490513776
161	0.04432697583
162	0.04355565298
163	0.04324179544
164	0.04282949135
165	0.0422434916
166	0.04164528511
167	0.04104440517
168	0.04049544942
169	0.04013073474
170	0.03978116084
171	0.03934893179
172	0.03886543523
173	0.03848106878
174	0.03815469178
175	0.03768917098
176	0.03717460174
177	0.03695081575
178	0.03633624327
179	0.03606677507
180	0.0357208686
181	0.03538653562
182	0.0350829286
183	0.03468650685
184	0.03441728402
185	0.03427922827
186	0.03394487345
187	0.03364610127
188	0.03317686169
189	0.03273057201
190	0.03235198091
191	0.03193157677
192	0.03161821285
193	0.03131991869
194	0.03090560206
195	0.0305436593
196	0.03021318497
197	0.02984762126
198	0.02947096126
199	0.02905618661
200	0.02876438387
201	0.02855438202
202	0.02833824523
203	0.02809581162
204	0.02780503076
205	0.0276545285
206	0.02741351401
207	0.02724175419
208	0.02698105485
209	0.02673265469
210	0.02646060584
211	0.02628037135
212	0.02597216969
213	0.025763259
214	0.02549925059
215	0.02533567805
216	0.02511299587
217	0.02485521265
218	0.02462648095
219	0.02441536084
220	0.02426622373
221	0.02404668761
222	0.02399400755
223	0.02380821418
224	0.02370953241
225	0.0236221212
226	0.0234387868
227	0.0232309852
228	0.02312783495
229	0.02296424336
230	0.02276464401
231	0.02255756314
232	0.02241433521
233	0.02223780924
234	0.02217879122
235	0.02200754531
236	0.0217955616
237	0.02162184451
238	0.02142127947
239	0.0212916791
240	0.02106091823
241	0.02090585185
242	0.02071566258
243	0.0204789483
244	0.02027847973
245	0.02016297566
246	0.02000047166
247	0.01985120566
248	0.01975874176
249	0.01962495111
250	0.01947353158
251	0.01930495442
252	0.01904990588
253	0.01887571545
254	0.01878551953
255	0.01865686668
256	0.01852916116
257	0.0183996121
258	0.01831609802
259	0.01819245275
260	0.0180340548
261	0.01792604612
262	0.01782418966
263	0.01770218579
264	0.01759067701
265	0.01744914696
266	0.01731391882
267	0.01725463927
268	0.01715030205
269	0.01705192008
270	0.01700018194
271	0.01686391815
272	0.01673700974
273	0.01665005971
274	0.0165566163
275	0.0164433235
276	0.01633540505
277	0.01619405095
278	0.01604903712
279	0.01591870618
280	0.01576476103
281	0.01572734086
282	0.0155921692
283	0.01548540055
284	0.01539186854
285	0.01528439342
286	0.0151589483
287	0.01508718675
288	0.01496793027
289	0.01486073661
290	0.01476392867
291	0.0146486693
292	0.01457382338
293	0.01449650097
294	0.01442974761
295	0.01433300797
296	0.01421752077
297	0.0141364032
298	0.01405787782
299	0.01398696194
